number,c_name,d_name,e,a,q,i,node,peri,M,period-y,n,Q,D,type
1943,Anteros,1973 EC,0.256032566,1.430389404,1.064163134,8.70615408,246.3068575,338.3586097,44.3629027,1.710762134,0.576132862,1.796615675,2.3,L
4660,Nereus,1982 DB,0.358775383,1.485023298,0.952233495,1.453736602,313.1380629,1.60E+02,225.21521,1.809706319,0.544633277,2.0178131,0.33,Xe
7474,,1992 TC,0.292206444,1.565741236,1.108221557,7.087577949,88.60908112,275.6458927,187.6768354,1.95924247,0.503064985,2.023260914,,X
10302,,1989 ML,0.136914602,1.272792615,1.098528721,4.378652072,104.281413,183.6240405,155.1315142,1.435967705,0.686384715,1.447056509,,X
65803,Didymos,1996 GT,0.383281738,1.642544446,1.012987156,3.414108872,72.9910851,319.5615827,59.09021528,2.105154124,0.468196733,2.272101735,0.78,Xk
98943,,2001 CC21,0.21923978,1.032226367,0.805921286,4.806716063,75.51920887,179.4407466,280.8562152,1.048746742,0.93981344,1.258531448,,L
101955,Bennu,1999 RQ36,0.203745076,1.126391026,0.8968944,6.03494377,2.060866196,66.22306084,101.703952,1.195479064,0.82446135,1.355887651,0.482,B
162173,Ryugu,1999 JU3,0.191089844,1.190951921,0.963373104,5.866179192,251.30134,211.6068688,232.3502087,1.299719235,0.758337844,1.418530739,0.896,Cb
436724,,2011 UW158,0.376220085,1.620717063,1.010970751,4.570992971,285.9765984,8.795543827,247.5123854,2.063331503,0.477686829,2.230463375,,
2,Pallas,A802 FA,0.230084367,2.769631684,2.132382732,34.92703056,172.9181327,310.8647985,357.8494318,4.609366386,0.213831187,3.406880635,513,B
10,Hygiea,A849 GA,0.111159039,3.140181088,2.791121576,3.831728409,283.1731774,312.4866515,39.73549304,5.564680612,0.177121807,3.4892406,407.12,C
13,Egeria,A850 VA,0.085611047,2.575575448,2.355077736,16.53667695,43.20838524,79.90610752,161.8386226,4.133515942,0.238447437,2.796073159,202.636,Ch
16,Psyche,A852 FA,0.134117419,2.924145011,2.53196623,3.096845423,150.0308071,229.3282498,203.8191829,5.000420894,0.197108664,3.316323793,226,X
19,Fortuna,A852 QA,0.157231309,2.442681939,2.058615861,1.573409578,211.0342501,182.5433874,198.2548558,3.817759656,0.258168762,2.826748017,200,Ch
87,Sylvia,A866 KA,0.093967282,3.47769994,3.15090993,10.8798408,73.01038438,264.2881565,304.5279312,6.485543314,0.151972816,3.804489951,3.804489951,X
